SCH Number,Lead Agency Name,Lead Agency Title,Lead Agency Acronym,Document Title,Document Type,Received,Posted,Document Description,Document Portal URL,Project Title,Contact Full Name,Contact Authority,Contact Job Title,Contact Email Address,Contact Address  1,Contact Address  2,Contact City,Contact State,Contact Zip Code,Contact Phone Number,Location Coordinates,Cities,Counties,County Clerks,Location Cross Streets,Location Zip Code,Location Total Acres,Location Parcel Number,Location State Highways,Location Waterways,Location Airports,NOC Has Non Late Comment,NOC State Review Start Date,NOC State Review End Date,NOC Development Type,NOC Local Action,NOC Project Issues,NOC Public Review Start Date,NOC Public Review End Date,NOE Exempt Status,NOE Exempt Citation,NOE Reasons for Exemption,NOD Agency,NOD Approved By Lead Agency,NOD Approved Date,NOD Significant Environmental Impact,NOD Environmental Impact Report Prepared,NOD Negative Declaration Prepared,NOD Other Document Type,NOD Mitigation Measures,NOD Mitigation Reporting Or Monitoring Plan,NOD Statement Of Overriding Considerations Adopted,NOD Findings Made Pursuant,NOD Final EIR Available Location
2024081372,"Lancaster, City of",City of Lancaster,,Westside Annexation and Specific Plan Project,NOP,8/30/2024,,The proposed project involves two components: 1) annexation of the project site from unincorporated Los Angeles County into the City of Lancaster jurisdiction and 2) adoption of the proposed North Lancaster Industrial Specific Plan which would allow up to approximately 38.5 million square feet of industrial development. See attached NOP for additional details.,https://ceqanet.opr.ca.gov/2024081372,Westside Annexation and Specific Plan Project,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Sierra Highway, Ave B, Ave G, 30th Street West",93534,"7,153",multiple,14,Amargosa Creek ,General William J. Fox Airfield,No,9/3/2024,10/3/2024,Industrial,"Annexation, General Plan Amendment, Prezone, Specific Plan","Aesthetics, Agriculture and Forestry Resources, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Drainage/Absorption, Economics/Jobs, Energy, Flood Plain/Flooding, Geology/Soils, Greenhouse Gas Emissions, Growth Inducement, Hazards & Hazardous Materials, Hydrology/Water Quality, Land Use/Planning, Mandatory Findings of Significance, Noise, Population/Housing, Public Services, Recreation, Schools/Universities, Septic System, Sewer Capacity, Solid Waste, Transportation, Tribal Cultural Resources, Utilities/Service Systems, Vegetation, Wetland/Riparian",9/3/2024,10/3/2024,,,,,,,,,,,,,,,
2024070692,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 23-004 (84256),NOD,8/26/2024,8/26/2024,"The proposed project, TTM 84256, consists of an 18-lot single-family residential subdivision on approximately 4.2 acres on the northeast corner of 37th Street West and Avenue J-8. The lots would range in size from 8,852 square feet to 10,757 square feet. Access to the subdivision would be provided from 37th Street West. The streets surrounding the subdivision would remain public.",https://ceqanet.opr.ca.gov/2024070692/2,Tentative Tract Map No. 23-004 (TTM 84256),Kendall Brekke,"City of Lancaster, CA",Senior Planner,kbrekke@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,93551,6617236100,,Lancaster,Los Angeles,Los Angeles,37th Street West and Avenue J-8,93536,4.2,3153-022-044,,,,,,,,,,,,,,,City of Lancaster,Yes,8/19/2024,No,No,Yes,,Yes,Yes,No,Yes,https://www.cityoflancasterca.org/our-city/departments-services/development-services/planning/environmental-review/initial-studies
2024080982,"Lancaster, City of",City of Lancaster,,Conditional Use Permit No. 24-004,NOE,8/23/2024,8/23/2024,"This application is for a for cultivation, manufacturing, and distribution of cannabis within two proposed industrial buildings (73,320 sf) and retail sales of cannabis in an existing building (2,922 sf) located at 42653 Sierra Highway (APN: 3128-007-021) in the Light Industrial (LI) zone.  ",https://ceqanet.opr.ca.gov/2024080982,Conditional Use Permit No. 24-004,Shannon Edwin,City of Lancaster,Planner,sedwin@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,91350,6617236100,,Lancaster,Los Angeles,Los Angeles,,,3.88, 3128-007-021,14,,,,,,,,,,,Categorical Exemption,"Class 32, Section 15332, Infill Development Project","The proposed project involves construction of two new industrial buildings, a total of 73,320 square-feet, and operation of retail sales of cannabis in a 2,922 square-foot existing building, on a 3.88-acre site in the Light Industrial (LI) zone. The proposal is consistent with the applicable general plan designation and all applicable general plan policies, zoning designations, and regulations. The site is substantially surrounded by urban uses and has no value as habitat for endangered, rare, or threatened species. Approval of the project will not result in any significant effects relating to traffic, noise, air quality, or water quality. All required utilities and public services are available to adequately serve the site.

None of the identified exceptions (cumulative impact, significant effect, scenic highways, hazardous waste sites, or historical resources) apply to the proposed project. Impacts associated with the proposed project would be minimal and would not create significant impacts to any of the resources identified in Appendix G of the CEQA Guidelines. Additionally, impacts associated with the construction the proposed project would not create any environmental impacts which would combine with impacts from other projects to create a cumulative impact. The project site is not listed on a hazardous materials site pursuant to Section 65962.5 of the Government Code.  There are no State Scenic Highways located within the city limits of Lancaster and construction of the proposed project would not impact a historic resource under Section 15064.5.
",,,,,,,,,,,,
2024080523,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 84283 (23-011),MND,8/14/2024,,"The proposed project consists of the subdivision of approximately 20 gross acres into 56 single family residential lots in the R-10,000 (single family residential, minimum lot size 10,000 square feet). The lots within the subdivision would range in size from 10,001 square feet to 17,994 square feet. Access to the subdivision would be from Avenue L-4 from 70th Street West and from the subdivision immediately to the east of the project site. All streets within the subdivision would be public. A block wall would surround the subdivision and a meandering sidewalk with landscaping would be placed along both 70th Street West and Avenue L.",https://ceqanet.opr.ca.gov/2024080523,Tentative Tract Map No. 84283 (23-011),Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue L, 70th Street West",93536,20,3204-004-024,N/A,N/A,N/A,Yes,8/14/2024,9/13/2024,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Energy, Geology/Soils, Greenhouse Gas Emissions, Mandatory Findings of Significance, Noise, Public Services, Transportation, Utilities/Service Systems",8/14/2024,9/13/2024,,,,,,,,,,,,,,,
2024080524,"Lancaster, City of",City of Lancaster,,Conditional Use Permit No. 23-018,MND,8/14/2024,,"The proposed project consists of the construction and operation of a Maverik fueling station and 5,637 square foot convenience market with alcohol sales. The convenience market is located along 15th Street West with an outdoor patio located at the northeast corner of the project site. The fueling pumps (fueling island) are located in the center of the project site and consist of a total of 20 fueling positions in five rows. The southern most fueling pump could be utilized for future hydrogen fueling. The southwest corner of the project site is reserved for future hydrogen fuel support equipment.
Access to the project site would be from driveways located on Avenue L and 15th Street West. The driveway on Avenue L would be located on the western end of the project site and would be right-in/right-out only. The driveway on 15th Street West would be located at the southern end of the project site and would allow for full turning movements. Parking will be provided throughout the project site and a total of parking spaces would be provided. A 6’ concrete block wall would be located along the southern and western property lines and meandering sidewalks would be provided along Avenue L and 15th Street West. Landscaping would be provided around the perimeter of the project site, in the parking areas and near the patio area. The applicant is also requesting approval an ABC license to allow for the off-sale of beer and wine.
As part of the proposed project, a general plan amendment and zone change have also been requested. The existing general plan designation on the subject property is currently Non-Urban Residential (NU) and the zoning is RR-2.5 (single family residential, minimum lot size 2.5 acres). These designations do not support a fueling station and convenience market. The applicant is requesting to change the general plan designation to C (Commercial) and the zoning to CPD (Commercial Planned Development).
",https://ceqanet.opr.ca.gov/2024080524,Conditional Use Permit No. 23-018,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"15th Street West, Avenue L",93534,2.5,3109-019-041,14,N/A,N/A,No,8/14/2024,9/13/0224,Commercial,"General Plan Amendment, Rezone, Use Permit","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Energy, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Land Use/Planning, Mandatory Findings of Significance, Noise, Public Services, Transportation, Utilities/Service Systems, Vegetation",8/14/2024,9/13/2024,,,,,,,,,,,,,,,
2024080570,"Lancaster, City of",City of Lancaster,,Conditional Use Permit No. 21-001,MND,8/14/2024,,"The applicant (Westlanc Partners, LLC) proposes to construct a mixed-use development consisting of 181 apartment units in two buildings; a 235-room hotel; 3 retail/restaurant pads; and a club house. The apartment buildings would be 81,348 square feet and 82,580 square feet; the hotel would be 162,352 square feet; and the three retail/restaurant pads would total 12,800 square feet. The apartment units would be a mix of one-and two-bedroom units with outdoor recreational amenities. The site would have a total 799 parking spaces provided in the center of the development and the spaces for the apartments would be primarily in an underground garage. Access to the development would be from two driveways on 15th Street West. 
As part of the proposed project, a tentative tract map, general plan amendment and zone change have also been requested. The tentative tract map would subdivide the subject property into six parcels. The general plan designation and zoning on the subject property is currently Non-Urban Residential (NU) and RR-2.5 (rural residential, minimum lot size 2.5 acres). The General Plan Amendment and Zone Change would change these designations to Mixed-Use (MU) and Mixed Use – Commercial (MU-C).
",https://ceqanet.opr.ca.gov/2024080570,Conditional Use Permit No. 21-001,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue L, 15th Street West",93534,10,"3109-026-032, -040, -042, -044",14,N/A,N/A,No,8/14/2024,9/13/2024,"Commercial, Other, Residential","General Plan Amendment, Land Division (Subdivision, etc.), Rezone, Use Permit","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Mandatory Findings of Significance, Noise, Sewer Capacity, Transportation, Utilities/Service Systems, Vegetation",8/14/2024,9/13/2024,,,,,,,,,,,,,,,
2023120648,"Lancaster, City of",City of Lancaster,,Avenue L-4 Property Project (Western Joshua Tree Conservation Act (WJTCA) Incidental Take Permit No. 1927-ITP-2024-034-05 (ITP)),NOD,8/1/2024,8/1/2024,"This Project involves commercial development of 10.8 acres of vacant land into one 217,700 square-foot warehouse with associated infrastructure. Project activities will include removing vegetation, grading, constructing a warehouse, paving, installing utilities, installing a bio-detention basin, and landscaping. The Project will result in incidental take of two western Joshua trees (Yucca brevifolia), a species which is protected under the WJTCA and the California Endangered Species Act. The WJTCA ITP referenced above as issued by CDFW authorizes incidental take of western Joshua tree that may occur as a result of Project implementation.",https://ceqanet.opr.ca.gov/2023120648/3,Site Plan Review No. 22-014/Lot Line Adjustment No. 23-004,Steven Gibson,"California Department of Fish and Wildlife, South Coast Region 5 (CDFW)",Senior Environmental Scientist (Supervisory),steve.gibson@wildlife.ca.gov,3883 Ruffin Road,,San Diego,CA,92123,5622522362,,Lancaster,Los Angeles,Los Angeles,,,,3128-007-015 and 3128-007-024,,,,,,,,,,,,,,,CDFW,No,7/30/2024,No,No,Yes,,Yes,Yes,No,No,The Mitigated Negative Declaration prepared by the lead agency for the Project is available to the general public at the office location listed above for the lead agency. CDFW’s administrative record of proceedings related to the incidental take permit is available to the public for review at CDFW’s regional office.
2023060450,"Lancaster, City of",City of Lancaster,,Lancaster Forbes 12 Project (Western Joshua Tree Conservation Act (WJTCA) Incidental Take Permit No. 1927-ITP-2024-035-05 (ITP)),NOD,7/26/2024,7/26/2024,"This Project involves commercial development of 11.8 acres to support two warehouses with a combined building area of 233,500 square feet and associated infrastructure. Project activities include removing vegetation, grading, constructing two warehouses, paving, installing utilities, installing a detention basin, and landscaping along Project Site boundaries and building perimeters. The Project will result in incidental take of one western Joshua tree (Yucca brevifolia), a species which is protected under the WJTCA and the California Endangered Species Act. The WJTCA ITP referenced above as issued by CDFW authorizes incidental take of western Joshua tree that may occur as a result of Project implementation.",https://ceqanet.opr.ca.gov/2023060450/3,SPR 22-11 and TAPM NO. 83994,Steven Gibson,"California Department of Fish and Wildlife, South Coast Region 5 (CDFW)",Senior Environmental Scientist (Supervisory),R5CESA@wildlife.ca.gov,3883 Ruffin Road,,San Diego,CA,92123,5622522362,,Lancaster,Los Angeles,Los Angeles,See below "Other Location Info.",,,,,,,,,,,,,,,,,,CDFW,No,7/26/2024,No,No,Yes,,Yes,Yes,No,No,The Mitigated Negative Declaration prepared by the lead agency for the Project is available to the general public at the office location listed above for the lead agency. CDFW’s administrative record of proceedings related to the incidental take permit is available to the public for review at CDFW’s regional office.
2024070857,"Lancaster, City of",City of Lancaster,,PWCP 21-002 Park and Ride Parking Lot Refurbish,NOE,7/23/2024,7/23/2024,"Locations: Deputy Pierre Bain Park, 5th Street East and Ave I; Kleiner Lot-Sgt. Steve Owen Memorial Park, 10th St. West; Batting Cage Lot, 10th St. West; National Soccer Center-West Side, 30th St. East and Ave L; National Soccer Center-East Side, 30th St. East and Ave L; Lancaster University Center, Division Street. 

This project will include resurfacing existing parking lots, removal of existing striping and markings, installing new striping, markings and signage, ADA parking stalls and accesses, reconstruct PCC sidewalk. Pavement treatments will include crack seal, slurry seal, overlay and pavement repairs. All work will be completed within the existing developed and disturbed right-of-way. Depth of excavations are expected to be less than 1 foot below existing grade, and there will be no modifications to existing utilities. ",https://ceqanet.opr.ca.gov/2024070857,PWCP 21-002 Park and Ride Parking Lot Refurbish,Ashleigh Klein,City Of Lancaster,Technical Assistant,aklein@cityoflancasterca.gov,44933 Fern Ave,,Lancaster,CA,93534,6617235869,,Lancaster,Los Angeles,Los Angeles,Several Locations,93534,Several Location,Several Locations ,HWY 14,Amarosa creek,n/a,,,,,,,,,Categorical Exemption,Class 1 Section 15301 Existing Facilities,"The project includes improvements within existing parking lot as stated above in the project descriptions, is consistent with the California Environmental Quality Act, Sections 15301 (Existing Facilities) of categorical exemptions. ",,,,,,,,,,,,
2024070692,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 23-004 (TTM 84256),MND,7/18/2024,,"The proposed project, TTM 84256, consists of an 18-lot single-family residential subdivision on approximately 4.2 acres on the northeast corner of 37th Street West and Avenue J-8. The lots would range in size from 8,677 square feet to 10,757 square feet. Access to the subdivision would be provided from 37th Street West and Bogard Street. The streets surrounding the subdivision would remain public.",https://ceqanet.opr.ca.gov/2024070692,Tentative Tract Map No. 23-004 (TTM 84256),Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue J-8, 37th Street West",93536,4.2,3153-022-044,14,Amargosa Creek ,N/A,Yes,7/18/2024,8/16/2024,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Land Use/Planning, Noise, Public Services, Sewer Capacity, Transportation",7/17/2024,8/16/2024,,,,,,,,,,,,,,,
